اسم السوبر ماركت,فترة سريان العرض,الفرع / الموقع,تاريخ تعديل ملف الفلاير,الفئة,اسم العلامة التجارية,اسم المنتج (الأساسي),الاسم بالعربية,العبارة الترويجية,الوحدة,السعر الأصلي,السعر الحالي,الخصم %,العملة,قيود العرض,اسم ملف الفلاير,اسم المجلد الفرعي,السعر المحسوب,__source_file__,solution_key,الفئة_الأصلية,الفئة_الجديدة,source_file,Unnamed: 23,,#CALC!,#N/A
المحلاوي ماركت,,,12/22/2025 16:48,أطعمة -فراخ وطيور,كوكي,koki crunchy fried chicken,كوكي دجاج مقلي كرانشي,الفئة أطعمة -فراخ offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت الفئة أطعمة -فراخ وطيور offer المحلاوي ماركت offer المحلاوي ماركت,12 ق + بطاطس بارد / حار,,209.99,0,جنيه,,SIM98_F2_flyer_8606_page_16.jpg,,,merged_cleansed_output.xlsx,8606,Frozen Chicken Meals,أطعمة -فراخ مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/22/2025 16:48,أطعمة -فراخ وطيور,koki,koki crunchy fried chicken,كوكي دجاج مقلي كرانشي,بارد / حار الفئة أطعمة -فراخ offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت الفئة أطعمة -فراخ وطيور offer المحلاوي ماركت offer المحلاوي ماركت,12 قطعة + بطاطس,,209.99,0,جنيه,,SIM98_F1_flyer_8661_page_16.jpg,,,merged_cleansed_output.xlsx,8661,Frozen Chicken Meal,أطعمة -فراخ مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة -لحوم طازجة,فريش فارم,oriental sausages,فريش فارم سجق شرقي,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,850 جم,,209.99,0,جنيه,,SIM98_F1_flyer_8639_page_16.jpg,,,merged_cleansed_output.xlsx,8639,Meat/Sausages,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة -حلوى,فريش فارم,fresh farm oriental sausages,فريش فارم سجق شرقي 850 جم,الفئة أطعمة -حلوى offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,g,,209.99,0,جنيه,,SIM98_F2_flyer_8550_page_19.jpg,,,merged_cleansed_output.xlsx,8550,Sausages,Sausages,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة -الألبان ومنتجاتها,katilo,katilo natural domiati cheese,قتيلو جبن دمياطي طبيعي الكيلو,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,الكيلو,,209.99,0,جنيه,,SIM90_F1_flyer_8639_page_14.jpg,,,merged_cleansed_output.xlsx,8639,Cheese,أطعمة -الألبان ومنتجاتها,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/17/2025 16:39,أطعمة مجمدة,koki,crunchy fried chicken,كوكي دجاج مقلي كرانشي,بارد / حار offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,12 قطعة + بطاطس,,209.99,0,جنيه,,20251217_F1_flyer_8606_page_16.jpg,,,merged_cleansed_output.xlsx,8606,Frozen Food / Chicken,أطعمة مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -لحوم طازجة,fresh farm,kofta skewers,كفتة سيخ,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,900 جم,,209.99,0,جنيه,,page_40.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Processed Meats,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -لحوم طازجة,fresh farm,"turkey luncheon meat (plain, cheese, spicy, olive)",لانشون رومي سادة - جبنة - حار - زيتون,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,,,209.99,0,جنيه,,page_40.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Processed Meats / Deli Meats,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -لحوم طازجة,fresh farm,eastern sausage,سجق شرقي,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,850 جم,,209.99,0,جنيه,,page_40.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Processed Meats,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -لحوم طازجة,fresh farm,beef burger hot dog,برجر بقري هوت دوج,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,1 كجم,,209.99,0,جنيه,,page_40.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Processed Meats,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -الألبان ومنتجاتها,domty,domty mozzarella cheese,دومتي موزاريلا كيلو,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,كيلو,,209.99,0,جنيه,,page_39.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Dairy/Cheese,أطعمة -الألبان ومنتجاتها,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -الألبان ومنتجاتها,katilo,katilo natural damietta cheese,قتيلو جبن دمياطي طبيعي الكيلو,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,kg,,209.99,0,جنيه,,page_17.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Cheese,أطعمة -الألبان ومنتجاتها,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -الألبان ومنتجاتها,lamar,lamar cream liter (whipping-cooking),لمار كريمة التر (خفق-طهي),offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,1 لتر,,209.99,0,جنيه,,page_16.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Dairy/Cream,أطعمة -الألبان ومنتجاتها,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,غسيل (مسحوق ),felvita / feba,felvita automatic gel + feba 4l gift,فلفيتا جيل اتوماتيك +فيبا 4 لتر هديه,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,لتر,,209.99,0,جنيه,,page_7.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Laundry Detergent,غسيل (مسحوق ),merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/17/2025 16:39,أطعمة -زيوت ودهون,الفا,rice,الفا ارز 1 كجم,الفئة أطعمة -زيوت ودهون offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,1 كجم,,21.75,0,جنيه,,20251217_F1_flyer_8600_page_8.jpg,,,merged_cleansed_output.xlsx,8600,Grocery,أطعمة -زيوت,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/22/2025 16:48,أطعمة -مشروبات,my e.,my e. carbonated drink can,ماي ايه مشروب غازي 300 مل كانز,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,300 مل كانز,,21.99,0,جنيه,,SIM96_F1_flyer_8661_page_23.jpg,,,merged_cleansed_output.xlsx,8661,Juices & Drinks,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/22/2025 16:48,أطعمة -مشروبات,my e.,my e. carbonated drink,ماي ايه مشروب غازي 300 مل كانز,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,300 ml can,,21.99,0,جنيه,,SIM96_F2_flyer_8606_page_24.jpg,,,merged_cleansed_output.xlsx,8606,Beverages,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/17/2025 16:39,أطعمة -زيوت ودهون,الملكة,el maleka lasagna,الملكة لازنيا,الفئة أطعمة -زيوت ودهون offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,400 جم - علبة,,21.99,0,جنيه,,20251217_F1_flyer_8606_page_20.jpg,,,merged_cleansed_output.xlsx,8606,Grocery,أطعمة -زيوت,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/17/2025 16:39,أطعمة -مشروبات,my e.,carbonated drink,ماي ايه مشروب غازي 300 مل كانز,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,300 ml can,,21.99,0,جنيه,,20251217_F1_flyer_8606_page_24.jpg,,,merged_cleansed_output.xlsx,8606,Beverages,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,غسيل الأطباق,flash,floor cleaner,سيد فلاش منظف ومطهر ارضيات 900مل 1ق,1ق offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,900 مل,,21.99,0,جنيه,,page_48.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Floor Cleaner,غسيل الأطباق,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal,green tea with mint,شاي أخضر بالنعناع,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,25 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Green Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,chamomile & anise,بابونج وينسون,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,caraway,كراوية,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal,mint black tea,شاي أسود بالنعناع,FINESST SELECTION offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,marjoram,بردقوش,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,ginger & cinnamon,زنجبيل وقرفة,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,tilila,تليو,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,lemon & ginger,ليمون وزنجبيل,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal,green tea,شاي أخضر,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,25 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Green Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,chamomile,بابونج,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,cinnamon,قرفة,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,ginger,زنجبيل,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مشروبات,royal blends,chamomile & mint,بابونج ونعناع,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,20 bags,,21.99,0,جنيه,,page_25.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Herbal Tea,أطعمة -مشروبات,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:13,أطعمة -صلصات وتوابل,heinz,heinz mayonnaise,هاينز مايونيز,SALE offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,875 جم,,21.99,0,جنيه,,page_11.jpg,flyer_8508,,merged_cleansed_output.xlsx,8508,Condiments,أطعمة -صلصات وتوابل,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:13,أطعمة -مكرونة,الملكة,el maleka lasagna,الملكة لازانيا 400 جم,SALE offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,جم,,21.99,0,جنيه,,page_10.jpg,flyer_8508,,merged_cleansed_output.xlsx,8508,مكرونة,أطعمة -مكرونة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/26/2025 15:48,غسيل (مسحوق ),bahi,automatic detergent,باهي أوتوماتيك 4 كيلو + 500 جم,offer المحلاوي ماركت الفئة غسيل (مسحوق ) offer المحلاوي ماركت,كيلو,271.75,210,22,جنيه,,SIM90_F2_flyer_8606_page_57.jpg,,209.2475,merged_cleansed_output.xlsx,8606,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/17/2025 16:39,غسيل (مسحوق ),bahi,bahi automatic detergent,باهي أوتوماتيك 4 كيلو + 500 جم,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,4.5 kg,271.75,210,22,جنيه,,20251217_F1_flyer_8606_page_57.jpg,,209.2475,merged_cleansed_output.xlsx,8606,Laundry Detergent,غسيل (مسحوق ),merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/25/2025 21:57,أطعمة مجمدة,اطياب,beef kofta,اطياب كفتة بقري 900جم,offer المحلاوي الفئة أطعمة مجمدة offer المحلاوي ماركت offer المحلاوي ماركت,900 جم,,212.95,0,جنيه,,20251225_F1_flyer_8724_page_10.jpg,,,merged_cleansed_output.xlsx,8724,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/17/2025 16:39,أطعمة -طحينة\حلاوة\عسل\شكولاتة سبريد,nutella,nutella chocolate spread,نوتيلا شوكولاتة,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,350 جم,,213.99,0,جنيه,,20251217_F1_flyer_8606_page_22.jpg,,,merged_cleansed_output.xlsx,8606,Spreads,أطعمة -طحينة\حلاوة\عسل\شكولاتة سبريد,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:13,أطعمة -فراخ وطيور,حلواني,halwani chicken meal 2 pcs,حلواني وجبة الدجاج 2 ق,SALE الفئة أطعمة -فراخ offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت الفئة أطعمة -فراخ وطيور offer المحلاوي ماركت offer المحلاوي ماركت,عبوة,,214.95,0,جنيه,,page_8.jpg,flyer_8508,,merged_cleansed_output.xlsx,8508,Frozen Chicken Products,أطعمة -فراخ مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/25/2025 21:57,أطعمة -حبوب وبقوليات,,1121 long grain basmati rice,ارز بسمتي 1121 طويل الحبة,offer المحلاوي ماركت الفئة أطعمة -حبوب وبقوليات offer المحلاوي ماركت offer المحلاوي ماركت,,,214.99,0,جنيه,,20251225_F1_flyer_8719_page_8.jpg,,,merged_cleansed_output.xlsx,8719,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة -مكرونة,غالية,ghalia pasta bag,غالية مكرونة 10 كجم شكارة,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,شكارة,,214.99,0,جنيه,,20251218_F1_flyer_8639_page_12.jpg,,,merged_cleansed_output.xlsx,8639,Pasta,أطعمة -مكرونة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة مجمدة,حلواني,halawany burger,حلواني برجر 1 كجم عبوة,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,kg,,214.99,0,جنيه,,SIM98_F2_flyer_8550_page_19.jpg,,,merged_cleansed_output.xlsx,8550,Frozen Meat,أطعمة مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة -لحوم طازجة,حلواني,original burger,حلواني برجر,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,1 كجم عبوة,,214.99,0,جنيه,,SIM98_F1_flyer_8639_page_16.jpg,,,merged_cleansed_output.xlsx,8639,Meat/Burgers,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/17/2025 16:39,أطعمة -لحوم طازجة,اللحيمي,el lohemy luncheon turkey assorted,اللحيمي لانشون رومي انواع الكيلو,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,الكيلو,,214.99,0,جنيه,,20251217_F1_flyer_8606_page_12.jpg,,,merged_cleansed_output.xlsx,8606,Processed Meat,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,العناية بالبشرة والنظافة,byphasse,byphasse soft toner face lotion pink (alcohol-free) with rose water,byphasse سوفت تونر لوشن للوجه 500مل بينك (بدون كحول) بماء الورد,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,500 مل,,214.99,0,جنيه,,page_49.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Skin Care,العناية بالبشرة والنظافة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -لحوم طازجة,atyab,beef hot dog,هوت دوج (1 كيلو جرام),offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,1 kg,,214.99,0,جنيه,,page_43.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Processed Meat,أطعمة -لحوم طازجة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:18,أطعمة -مكرونة,ghalia,ghalia pasta (various types),غالية مكرونة انواع,10 كجم شكارة offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,10 كجم,,214.99,0,جنيه,,page_13.jpg,flyer_8550,,merged_cleansed_output.xlsx,8550,Pasta,أطعمة -مكرونة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/25/2025 21:57,أطعمة مجمدة,,imported pot kebab,كباب حلة مستورد الكيلو,offer المحلاوي ماركت الفئة أطعمة مجمدة offer المحلاوي ماركت offer المحلاوي ماركت,,214.99,214.99,0,جنيه,,20251225_F1_flyer_8719_page_12.jpg,,,merged_cleansed_output.xlsx,8719,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/26/2025 15:48,العناية الشخصية,gillette,gillette blue 3 comfort razor,ماكينه بلو ثري كومفرت 6+2 ق,offer المحلاوي ماركت الفئة العناية الشخصية offer المحلاوي ماركت,ق,,219.95,0,جنيه,,20251226_F1_flyer_8734_page_34.jpg,,,merged_cleansed_output.xlsx,8734,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/15/2025 13:13,أطعمة -فراخ وطيور,حلواني,halwani chicken pane,حلواني بانية دجاج,SALE الفئة أطعمة -فراخ offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت الفئة أطعمة -فراخ وطيور offer المحلاوي ماركت offer المحلاوي ماركت,كجم,,219.95,0,جنيه,,page_8.jpg,flyer_8508,,merged_cleansed_output.xlsx,8508,Frozen Chicken Products,أطعمة -فراخ مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/25/2025 21:57,أطعمة -سكر,nocal,sugar powder sweetener,نوكال سكر بودر 300باكت تحلية ملعقتين + 100باكت تحلية ملعقتين هدية,300باكت تحلية ملعقتين + 100باكت تحلية ملعقتين هدية offer المحلاوي الفئة أطعمة -سكر offer المحلاوي ماركت offer المحلاوي ماركت,باكت,,219.99,0,جنيه,,20251225_F1_flyer_8724_page_15.jpg,,,merged_cleansed_output.xlsx,8724,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/25/2025 21:57,أطعمة -زيوت ودهون,صني,sunflower oil,صني زيت عباد 4.2 لتر عبوة,4.2 لتر + ماسكة هدية offer المحلاوي ماركت الفئة أطعمة -زيوت ودهون offer المحلاوي ماركت offer المحلاوي ماركت,عبوة,,219.99,0,جنيه,,20251225_F1_flyer_8719_page_18.jpg,,,merged_cleansed_output.xlsx,8719,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/25/2025 21:57,أطعمة -مخبوزات وحلويات,,dozen luxury gateau 12 pcs,دستة جاتوة لوكس 12 ق,offer المحلاوي ماركت الفئة أطعمة -مخبوزات وحلويات offer المحلاوي ماركت offer المحلاوي ماركت,,,219.99,0,جنيه,,20251225_F1_flyer_8719_page_9.jpg,,,merged_cleansed_output.xlsx,8719,,,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/22/2025 16:48,أطعمة -فراخ وطيور,حلواني,halawany fried chicken meal,حلواني وجبة دجاج مقلي,الفئة أطعمة -فراخ offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت الفئة أطعمة -فراخ وطيور offer المحلاوي ماركت offer المحلاوي ماركت,مقلي 12 ق بارد / حار,,219.99,0,جنيه,,SIM98_F2_flyer_8606_page_16.jpg,,,merged_cleansed_output.xlsx,8606,Frozen Chicken Meals,أطعمة -فراخ مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/22/2025 16:48,أطعمة -فراخ وطيور,حلواني,halawany fried chicken meal,حلواني وجبة دجاج مقلي,بارد / حار الفئة أطعمة -فراخ offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت الفئة أطعمة -فراخ وطيور offer المحلاوي ماركت offer المحلاوي ماركت,12 قطعة + بطاطس,,219.99,0,جنيه,,SIM98_F1_flyer_8661_page_16.jpg,,,merged_cleansed_output.xlsx,8661,Frozen Chicken Meal,أطعمة -فراخ مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة مجمدة,dayem,chicken strips,دايم ستريبس دجاج,offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت offer المحلاوي ماركت,1 كجم عبوة,,219.99,0,جنيه,,SIM98_F1_flyer_8639_page_16.jpg,,,merged_cleansed_output.xlsx,8639,Chicken/Frozen,أطعمة مجمدة,merged_cleansed_output.xlsx,,,,
المحلاوي ماركت,,,12/18/2025 19:23,أطعمة -فراخ وطيور,dayem,dayem chicken strips,دايم ستريبس دجاج 1 كجم,(بارد - حار) الفئة أطعمة -فراخ offer المحلاوي EL MAHALAWY STORES offer المحلاوي ماركت offer المحلاوي ماركت الفئة أطعمة -فراخ وطيور offer المحلاوي ماركت offer المحلاوي ماركت,kg,,219.99,0,جنيه,,SIM98_F2_flyer_8550_page_19.jpg,,,merged_cleansed_output.xlsx,8550,Frozen Chicken,أطعمة -فراخ مجمدة,merged_cleansed_output.xlsx,,,,
